checkpoint,method,sector_code,sector_name,action,momentum_strong,mom_score,mom_rank,mom_percentile,eligible
2023-06-30,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2023-06-30,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2023-06-30,legacy_rs_ma_v0,5042,KRX 산업재,Hold,False,,,,True
2023-06-30,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2023-06-30,legacy_rs_ma_v0,5045,KRX 헬스케어,Avoid,False,,,,True
2023-06-30,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Avoid,False,,,,True
2023-06-30,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2023-06-30,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Strong Buy,True,,,,True
2023-06-30,legacy_rs_ma_v0,5046,KRX 미디어통신,Avoid,False,,,,True
2023-06-30,legacy_rs_ma_v0,5048,KRX 에너지화학,Hold,False,,,,True
2023-06-30,legacy_rs_ma_v0,5049,KRX 철강,Avoid,False,,,,True
2023-06-30,hybrid_return_rank_v1,1155,KOSPI200 정보기술,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,1168,KOSPI200 금융,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,5042,KRX 산업재,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,5044,KRX 반도체,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,5045,KRX 헬스케어,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,5046,KRX 미디어통신,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,5048,KRX 에너지화학,N/A,False,,,,False
2023-06-30,hybrid_return_rank_v1,5049,KRX 철강,N/A,False,,,,False
2023-07-31,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Hold,False,,,,True
2023-07-31,legacy_rs_ma_v0,1168,KOSPI200 금융,Avoid,False,,,,True
2023-07-31,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2023-07-31,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2023-07-31,legacy_rs_ma_v0,5045,KRX 헬스케어,Watch,False,,,,True
2023-07-31,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Avoid,False,,,,True
2023-07-31,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Avoid,False,,,,True
2023-07-31,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Avoid,False,,,,True
2023-07-31,legacy_rs_ma_v0,5046,KRX 미디어통신,Watch,False,,,,True
2023-07-31,legacy_rs_ma_v0,5048,KRX 에너지화학,Strong Buy,True,,,,True
2023-07-31,legacy_rs_ma_v0,5049,KRX 철강,Strong Buy,True,,,,True
2023-07-31,hybrid_return_rank_v1,1155,KOSPI200 정보기술,N/A,False,,,,False
2023-07-31,hybrid_return_rank_v1,1168,KOSPI200 금융,N/A,False,,,,False
2023-07-31,hybrid_return_rank_v1,5042,KRX 산업재,N/A,False,,,,False
