lag_months,regime,rank,code,sector_name,avg_excess_pct,assigned_regime
0,Recovery,1,1155,KOSPI200 정보기술,2.07300008219474,Recovery
0,Recovery,2,5044,KRX 반도체,1.6260495621107294,Expansion
0,Recovery,3,5042,KRX 산업재,0.3875214968708981,Expansion
0,Recovery,4,1168,KOSPI200 금융,0.3103594230218429,Recovery
0,Recovery,5,1170,KOSPI200 유틸리티,-0.44700905637696936,Slowdown
0,Recovery,6,5045,KRX 헬스케어,-0.5080418767964019,Expansion
0,Recovery,7,1165,KOSPI200 경기소비재,-0.8544503802521247,Slowdown
0,Recovery,8,5048,KRX 에너지화학,-0.9052000667661986,Contraction
0,Recovery,9,5049,KRX 철강,-1.31614498451599,Contraction
0,Recovery,10,1157,KOSPI200 생활소비재,-1.4331688572060277,Slowdown
0,Recovery,11,5046,KRX 미디어통신,-2.6417006538753283,Contraction
0,Expansion,1,1155,KOSPI200 정보기술,0.9723542757213419,Recovery
0,Expansion,2,5044,KRX 반도체,0.9422307060767051,Expansion
0,Expansion,3,5049,KRX 철강,0.2801994534886759,Contraction
0,Expansion,4,5045,KRX 헬스케어,0.12079898760154245,Expansion
0,Expansion,5,5048,KRX 에너지화학,-0.020562633398702554,Contraction
0,Expansion,6,1168,KOSPI200 금융,-0.1832998508988006,Recovery
0,Expansion,7,5046,KRX 미디어통신,-0.22786284119744038,Contraction
0,Expansion,8,1165,KOSPI200 경기소비재,-0.5744495311144212,Slowdown
0,Expansion,9,5042,KRX 산업재,-0.7396663485801958,Expansion
0,Expansion,10,1170,KOSPI200 유틸리티,-1.0220834246408073,Slowdown
0,Expansion,11,1157,KOSPI200 생활소비재,-1.3414054356817326,Slowdown
0,Slowdown,1,1170,KOSPI200 유틸리티,2.443780656910699,Slowdown
0,Slowdown,2,5042,KRX 산업재,1.0015941703352944,Expansion
0,Slowdown,3,1157,KOSPI200 생활소비재,0.933078915283868,Slowdown
0,Slowdown,4,1165,KOSPI200 경기소비재,0.3258181110483305,Slowdown
0,Slowdown,5,5046,KRX 미디어통신,0.20537286170835442,Contraction
0,Slowdown,6,1155,KOSPI200 정보기술,0.03276785987214818,Recovery
0,Slowdown,7,1168,KOSPI200 금융,-0.26775466515880614,Recovery
0,Slowdown,8,5044,KRX 반도체,-0.43932827438118377,Expansion
0,Slowdown,9,5049,KRX 철강,-0.4935317859442,Contraction
0,Slowdown,10,5048,KRX 에너지화학,-0.69955106657085,Contraction
0,Slowdown,11,5045,KRX 헬스케어,-1.9600418678427853,Expansion
0,Contraction,1,5045,KRX 헬스케어,1.4508737721788683,Expansion
0,Contraction,2,5044,KRX 반도체,1.0442829371697921,Expansion
0,Contraction,3,5049,KRX 철강,0.5821034761429841,Contraction
0,Contraction,4,1155,KOSPI200 정보기술,0.15073372781601266,Recovery
0,Contraction,5,5048,KRX 에너지화학,0.038290528964106445,Contraction
0,Contraction,6,5042,KRX 산업재,-0.011020929917671118,Expansion
0,Contraction,7,1168,KOSPI200 금융,-0.26368713447152986,Recovery
0,Contraction,8,1165,KOSPI200 경기소비재,-0.2698906417833121,Slowdown
0,Contraction,9,5046,KRX 미디어통신,-1.3507140896446526,Contraction
0,Contraction,10,1157,KOSPI200 생활소비재,-1.7693248043822356,Slowdown
0,Contraction,11,1170,KOSPI200 유틸리티,-3.407249614765967,Slowdown
1,Recovery,1,1155,KOSPI200 정보기술,1.8116320207678065,Recovery
1,Recovery,2,1170,KOSPI200 유틸리티,1.248061739057232,Slowdown
1,Recovery,3,1168,KOSPI200 금융,1.0562079823000443,Recovery
1,Recovery,4,5044,KRX 반도체,0.7509271525079366,Expansion
1,Recovery,5,5049,KRX 철강,0.32038959059869554,Contraction
1,Recovery,6,1157,KOSPI200 생활소비재,-0.16336757104350963,Slowdown
1,Recovery,7,1165,KOSPI200 경기소비재,-0.3314252325982944,Slowdown
1,Recovery,8,5045,KRX 헬스케어,-0.5308968627847064,Expansion
1,Recovery,9,5042,KRX 산업재,-0.6540115813953117,Expansion
1,Recovery,10,5048,KRX 에너지화학,-0.8815975637872531,Contraction
1,Recovery,11,5046,KRX 미디어통신,-1.1097706589383207,Contraction
1,Expansion,1,5044,KRX 반도체,1.5565764665740205,Expansion
1,Expansion,2,1155,KOSPI200 정보기술,1.2760003187759166,Recovery
1,Expansion,3,5045,KRX 헬스케어,0.20664120766122662,Expansion
1,Expansion,4,5042,KRX 산업재,-0.37265922206189556,Expansion
1,Expansion,5,5048,KRX 에너지화학,-0.5507624215811456,Contraction
1,Expansion,6,5046,KRX 미디어통신,-0.6941142246024548,Contraction
1,Expansion,7,5049,KRX 철강,-0.6951099600221532,Contraction
1,Expansion,8,1165,KOSPI200 경기소비재,-0.8411398427768068,Slowdown
1,Expansion,9,1168,KOSPI200 금융,-0.9075513272165573,Recovery
1,Expansion,10,1157,KOSPI200 생활소비재,-1.991068456340254,Slowdown
1,Expansion,11,1170,KOSPI200 유틸리티,-2.5250322222536563,Slowdown
1,Slowdown,1,1170,KOSPI200 유틸리티,1.9158049621311406,Slowdown
1,Slowdown,2,5042,KRX 산업재,0.9571705199356548,Expansion
1,Slowdown,3,1157,KOSPI200 생활소비재,0.5098767516415182,Slowdown
1,Slowdown,4,1155,KOSPI200 정보기술,0.05432042330282395,Recovery
1,Slowdown,5,1165,KOSPI200 경기소비재,-0.005025996180655726,Slowdown
1,Slowdown,6,5049,KRX 철강,-0.031315221980393396,Contraction
1,Slowdown,7,5046,KRX 미디어통신,-0.15215843931026038,Contraction
1,Slowdown,8,1168,KOSPI200 금융,-0.32081289306730937,Recovery
1,Slowdown,9,5044,KRX 반도체,-0.4988512495051644,Expansion
1,Slowdown,10,5048,KRX 에너지화학,-1.0395757855322298,Contraction
1,Slowdown,11,5045,KRX 헬스케어,-1.2495167817601396,Expansion
1,Contraction,1,5044,KRX 반도체,1.2574543608051385,Expansion
1,Contraction,2,5048,KRX 에너지화학,0.9526216584879929,Contraction
1,Contraction,3,5045,KRX 헬스케어,0.8699069936803173,Expansion
1,Contraction,4,5042,KRX 산업재,0.3391394037741442,Expansion
1,Contraction,5,5049,KRX 철강,-0.00851592341079087,Contraction
1,Contraction,6,1168,KOSPI200 금융,-0.08522132509012692,Recovery
1,Contraction,7,1165,KOSPI200 경기소비재,-0.14030416925281358,Slowdown
1,Contraction,8,1155,KOSPI200 정보기술,-0.1481902903178703,Recovery
1,Contraction,9,1157,KOSPI200 생활소비재,-1.5627805447217344,Slowdown
1,Contraction,10,5046,KRX 미디어통신,-1.6081515028400768,Contraction
1,Contraction,11,1170,KOSPI200 유틸리티,-2.453325163100829,Slowdown
2,Recovery,1,1168,KOSPI200 금융,1.6905711448901346,Recovery
2,Recovery,2,5049,KRX 철강,1.1240138194611056,Contraction
2,Recovery,3,1155,KOSPI200 정보기술,0.531553085329881,Recovery
